"","x"
"1",208500
"2",181500
"3",223500
"4",140000
"5",250000
"6",143000
"7",307000
"8",200000
"9",129900
"10",118000
"11",129500
"12",345000
"13",144000
"14",279500
"15",157000
"16",132000
"17",149000
"18",90000
"19",159000
"20",139000
"21",325300
"22",139400
"23",230000
"24",129900
"25",154000
"26",256300
"27",134800
"28",306000
"29",207500
"30",68500
"31",40000
"32",149350
"33",179900
"34",165500
"35",277500
"36",309000
"37",145000
"38",153000
"39",109000
"40",82000
"41",160000
"42",170000
"43",144000
"44",130250
"45",141000
"46",319900
"47",239686
"48",249700
"49",113000
"50",127000
"51",177000
"52",114500
"53",110000
"54",385000
"55",130000
"56",180500
"57",172500
"58",196500
"59",438780
"60",124900
"61",158000
"62",101000
"63",202500
"64",140000
"65",219500
"66",317000
"67",180000
"68",226000
"69",80000
"70",225000
"71",244000
"72",129500
"73",185000
"74",144900
"75",107400
"76",91000
"77",135750
"78",127000
"79",136500
"80",110000
"81",193500
"82",153500
"83",245000
"84",126500
"85",168500
"86",260000
"87",174000
"88",164500
"89",85000
"90",123600
"91",109900
"92",98600
"93",163500
"94",133900
"95",204750
"96",185000
"97",214000
"98",94750
"99",83000
"100",128950
"101",205000
"102",178000
"103",118964
"104",198900
"105",169500
"106",250000
"107",100000
"108",115000
"109",115000
"110",190000
"111",136900
"112",180000
"113",383970
"114",217000
"115",259500
"116",176000
"117",139000
"118",155000
"119",320000
"120",163990
"121",180000
"122",100000
"123",136000
"124",153900
"125",181000
"126",84500
"127",128000
"128",87000
"129",155000
"130",150000
"131",226000
"132",244000
"133",150750
"134",220000
"135",180000
"136",174000
"137",143000
"138",171000
"139",230000
"140",231500
"141",115000
"142",260000
"143",166000
"144",204000
"145",125000
"146",130000
"147",105000
"148",222500
"149",141000
"150",115000
"151",122000
"152",372402
"153",190000
"154",235000
"155",125000
"156",79000
"157",109500
"158",269500
"159",254900
"160",320000
"161",162500
"162",412500
"163",220000
"164",103200
"165",152000
"166",127500
"167",190000
"168",325624
"169",183500
"170",228000
"171",128500
"172",215000
"173",239000
"174",163000
"175",184000
"176",243000
"177",211000
"178",172500
"179",501837
"180",100000
"181",177000
"182",200100
"183",120000
"184",200000
"185",127000
"186",475000
"187",173000
"188",135000
"189",153337
"190",286000
"191",315000
"192",184000
"193",192000
"194",130000
"195",127000
"196",148500
"197",311872
"198",235000
"199",104000
"200",274900
"201",140000
"202",171500
"203",112000
"204",149000
"205",110000
"206",180500
"207",143900
"208",141000
"209",277000
"210",145000
"211",98000
"212",186000
"213",252678
"214",156000
"215",161750
"216",134450
"217",210000
"218",107000
"219",311500
"220",167240
"221",204900
"222",200000
"223",179900
"224",97000
"225",386250
"226",112000
"227",290000
"228",106000
"229",125000
"230",192500
"231",148000
"232",403000
"233",94500
"234",128200
"235",216500
"236",89500
"237",185500
"238",194500
"239",318000
"240",113000
"241",262500
"242",110500
"243",79000
"244",120000
"245",205000
"246",241500
"247",137000
"248",140000
"249",180000
"250",277000
"251",76500
"252",235000
"253",173000
"254",158000
"255",145000
"256",230000
"257",207500
"258",220000
"259",231500
"260",97000
"261",176000
"262",276000
"263",151000
"264",130000
"265",73000
"266",175500
"267",185000
"268",179500
"269",120500
"270",148000
"271",266000
"272",241500
"273",290000
"274",139000
"275",124500
"276",205000
"277",201000
"278",141000
"279",415298
"280",192000
"281",228500
"282",185000
"283",207500
"284",244600
"285",179200
"286",164700
"287",159000
"288",88000
"289",122000
"290",153575
"291",233230
"292",135900
"293",131000
"294",235000
"295",167000
"296",142500
"297",152000
"298",239000
"299",175000
"300",158500
"301",157000
"302",267000
"303",205000
"304",149900
"305",295000
"306",305900
"307",225000
"308",89500
"309",82500
"310",360000
"311",165600
"312",132000
"313",119900
"314",375000
"315",178000
"316",188500
"317",260000
"318",270000
"319",260000
"320",187500
"321",342643
"322",354000
"323",301000
"324",126175
"325",242000
"326",87000
"327",324000
"328",145250
"329",214500
"330",78000
"331",119000
"332",139000
"333",284000
"334",207000
"335",192000
"336",228950
"337",377426
"338",214000
"339",202500
"340",155000
"341",202900
"342",82000
"343",87500
"344",266000
"345",85000
"346",140200
"347",151500
"348",157500
"349",154000
"350",437154
"351",318061
"352",190000
"353",95000
"354",105900
"355",140000
"356",177500
"357",173000
"358",134000
"359",130000
"360",280000
"361",156000
"362",145000
"363",198500
"364",118000
"365",190000
"366",147000
"367",159000
"368",165000
"369",132000
"370",162000
"371",172400
"372",134432
"373",125000
"374",123000
"375",219500
"376",61000
"377",148000
"378",340000
"379",394432
"380",179000
"381",127000
"382",187750
"383",213500
"384",76000
"385",240000
"386",192000
"387",81000
"388",125000
"389",191000
"390",426000
"391",119000
"392",215000
"393",106500
"394",100000
"395",109000
"396",129000
"397",123000
"398",169500
"399",67000
"400",241000
"401",245500
"402",164990
"403",108000
"404",258000
"405",168000
"406",150000
"407",115000
"408",177000
"409",280000
"410",339750
"411",60000
"412",145000
"413",222000
"414",115000
"415",228000
"416",181134
"417",149500
"418",239000
"419",126000
"420",142000
"421",206300
"422",215000
"423",113000
"424",315000
"425",139000
"426",135000
"427",275000
"428",109008
"429",195400
"430",175000
"431",85400
"432",79900
"433",122500
"434",181000
"435",81000
"436",212000
"437",116000
"438",119000
"439",90350
"440",110000
"441",555000
"442",118000
"443",162900
"444",172500
"445",210000
"446",127500
"447",190000
"448",199900
"449",119500
"450",120000
"451",110000
"452",280000
"453",204000
"454",210000
"455",188000
"456",175500
"457",98000
"458",256000
"459",161000
"460",110000
"461",263435
"462",155000
"463",62383
"464",188700
"465",124000
"466",178740
"467",167000
"468",146500
"469",250000
"470",187000
"471",212000
"472",190000
"473",148000
"474",440000
"475",251000
"476",132500
"477",208900
"478",380000
"479",297000
"480",89471
"481",326000
"482",374000
"483",155000
"484",164000
"485",132500
"486",147000
"487",156000
"488",175000
"489",160000
"490",86000
"491",115000
"492",133000
"493",172785
"494",155000
"495",91300
"496",34900
"497",430000
"498",184000
"499",130000
"500",120000
"501",113000
"502",226700
"503",140000
"504",289000
"505",147000
"506",124500
"507",215000
"508",208300
"509",161000
"510",124500
"511",164900
"512",202665
"513",129900
"514",134000
"515",96500
"516",402861
"517",158000
"518",265000
"519",211000
"520",234000
"521",106250
"522",150000
"523",159000
"524",184750
"525",315750
"526",176000
"527",132000
"528",446261
"529",86000
"530",200624
"531",175000
"532",128000
"533",107500
"534",39300
"535",178000
"536",107500
"537",188000
"538",111250
"539",158000
"540",272000
"541",315000
"542",248000
"543",213250
"544",133000
"545",179665
"546",229000
"547",210000
"548",129500
"549",125000
"550",263000
"551",140000
"552",112500
"553",255500
"554",108000
"555",284000
"556",113000
"557",141000
"558",108000
"559",175000
"560",234000
"561",121500
"562",170000
"563",108000
"564",185000
"565",268000
"566",128000
"567",325000
"568",214000
"569",316600
"570",135960
"571",142600
"572",120000
"573",224500
"574",170000
"575",139000
"576",118500
"577",145000
"578",164500
"579",146000
"580",131500
"581",181900
"582",253293
"583",118500
"584",325000
"585",133000
"586",369900
"587",130000
"588",137000
"589",143000
"590",79500
"591",185900
"592",451950
"593",138000
"594",140000
"595",110000
"596",319000
"597",114504
"598",194201
"599",217500
"600",151000
"601",275000
"602",141000
"603",220000
"604",151000
"605",221000
"606",205000
"607",152000
"608",225000
"609",359100
"610",118500
"611",313000
"612",148000
"613",261500
"614",147000
"615",75500
"616",137500
"617",183200
"618",105500
"619",314813
"620",305000
"621",67000
"622",240000
"623",135000
"624",168500
"625",165150
"626",160000
"627",139900
"628",153000
"629",135000
"630",168500
"631",124000
"632",209500
"633",82500
"634",139400
"635",144000
"636",200000
"637",60000
"638",93000
"639",85000
"640",264561
"641",274000
"642",226000
"643",345000
"644",152000
"645",370878
"646",143250
"647",98300
"648",155000
"649",155000
"650",84500
"651",205950
"652",108000
"653",191000
"654",135000
"655",350000
"656",88000
"657",145500
"658",149000
"659",97500
"660",167000
"661",197900
"662",402000
"663",110000
"664",137500
"665",423000
"666",230500
"667",129000
"668",193500
"669",168000
"670",137500
"671",173500
"672",103600
"673",165000
"674",257500
"675",140000
"676",148500
"677",87000
"678",109500
"679",372500
"680",128500
"681",143000
"682",159434
"683",173000
"684",285000
"685",221000
"686",207500
"687",227875
"688",148800
"689",392000
"690",194700
"691",141000
"692",755000
"693",335000
"694",108480
"695",141500
"696",176000
"697",89000
"698",123500
"699",138500
"700",196000
"701",312500
"702",140000
"703",361919
"704",140000
"705",213000
"706",55000
"707",302000
"708",254000
"709",179540
"710",109900
"711",52000
"712",102776
"713",189000
"714",129000
"715",130500
"716",165000
"717",159500
"718",157000
"719",341000
"720",128500
"721",275000
"722",143000
"723",124500
"724",135000
"725",320000
"726",120500
"727",222000
"728",194500
"729",110000
"730",103000
"731",236500
"732",187500
"733",222500
"734",131400
"735",108000
"736",163000
"737",93500
"738",239900
"739",179000
"740",190000
"741",132000
"742",142000
"743",179000
"744",175000
"745",180000
"746",299800
"747",236000
"748",265979
"749",260400
"750",98000
"751",96500
"752",162000
"753",217000
"754",275500
"755",156000
"756",172500
"757",212000
"758",158900
"759",179400
"760",290000
"761",127500
"762",100000
"763",215200
"764",337000
"765",270000
"766",264132
"767",196500
"768",160000
"769",216837
"770",538000
"771",134900
"772",102000
"773",107000
"774",114500
"775",395000
"776",162000
"777",221500
"778",142500
"779",144000
"780",135000
"781",176000
"782",175900
"783",187100
"784",165500
"785",128000
"786",161500
"787",139000
"788",233000
"789",107900
"790",187500
"791",160200
"792",146800
"793",269790
"794",225000
"795",194500
"796",171000
"797",143500
"798",110000
"799",485000
"800",175000
"801",200000
"802",109900
"803",189000
"804",582933
"805",118000
"806",227680
"807",135500
"808",223500
"809",159950
"810",106000
"811",181000
"812",144500
"813",55993
"814",157900
"815",116000
"816",224900
"817",137000
"818",271000
"819",155000
"820",224000
"821",183000
"822",93000
"823",225000
"824",139500
"825",232600
"826",385000
"827",109500
"828",189000
"829",185000
"830",147400
"831",166000
"832",151000
"833",237000
"834",167000
"835",139950
"836",128000
"837",153500
"838",100000
"839",144000
"840",130500
"841",140000
"842",157500
"843",174900
"844",141000
"845",153900
"846",171000
"847",213000
"848",133500
"849",240000
"850",187000
"851",131500
"852",215000
"853",164000
"854",158000
"855",170000
"856",127000
"857",147000
"858",174000
"859",152000
"860",250000
"861",189950
"862",131500
"863",152000
"864",132500
"865",250580
"866",148500
"867",248900
"868",129000
"869",169000
"870",236000
"871",109500
"872",200500
"873",116000
"874",133000
"875",66500
"876",303477
"877",132250
"878",350000
"879",148000
"880",136500
"881",157000
"882",187500
"883",178000
"884",118500
"885",100000
"886",328900
"887",145000
"888",135500
"889",268000
"890",149500
"891",122900
"892",172500
"893",154500
"894",165000
"895",118858
"896",140000
"897",106500
"898",142953
"899",611657
"900",135000
"901",110000
"902",153000
"903",180000
"904",240000
"905",125500
"906",128000
"907",255000
"908",250000
"909",131000
"910",174000
"911",154300
"912",143500
"913",88000
"914",145000
"915",173733
"916",75000
"917",35311
"918",135000
"919",238000
"920",176500
"921",201000
"922",145900
"923",169990
"924",193000
"925",207500
"926",175000
"927",285000
"928",176000
"929",236500
"930",222000
"931",201000
"932",117500
"933",320000
"934",190000
"935",242000
"936",79900
"937",184900
"938",253000
"939",239799
"940",244400
"941",150900
"942",214000
"943",150000
"944",143000
"945",137500
"946",124900
"947",143000
"948",270000
"949",192500
"950",197500
"951",129000
"952",119900
"953",133900
"954",172000
"955",127500
"956",145000
"957",124000
"958",132000
"959",185000
"960",155000
"961",116500
"962",272000
"963",155000
"964",239000
"965",214900
"966",178900
"967",160000
"968",135000
"969",37900
"970",140000
"971",135000
"972",173000
"973",99500
"974",182000
"975",167500
"976",165000
"977",85500
"978",199900
"979",110000
"980",139000
"981",178400
"982",336000
"983",159895
"984",255900
"985",126000
"986",125000
"987",117000
"988",395192
"989",195000
"990",197000
"991",348000
"992",168000
"993",187000
"994",173900
"995",337500
"996",121600
"997",136500
"998",185000
"999",91000
"1000",206000
"1001",82000
"1002",86000
"1003",232000
"1004",136905
"1005",181000
"1006",149900
"1007",163500
"1008",88000
"1009",240000
"1010",102000
"1011",135000
"1012",100000
"1013",165000
"1014",85000
"1015",119200
"1016",227000
"1017",203000
"1018",187500
"1019",160000
"1020",213490
"1021",176000
"1022",194000
"1023",87000
"1024",191000
"1025",287000
"1026",112500
"1027",167500
"1028",293077
"1029",105000
"1030",118000
"1031",160000
"1032",197000
"1033",310000
"1034",230000
"1035",119750
"1036",84000
"1037",315500
"1038",287000
"1039",97000
"1040",80000
"1041",155000
"1042",173000
"1043",196000
"1044",262280
"1045",278000
"1046",139600
"1047",556581
"1048",145000
"1049",115000
"1050",84900
"1051",176485
"1052",200141
"1053",165000
"1054",144500
"1055",255000
"1056",180000
"1057",185850
"1058",248000
"1059",335000
"1060",220000
"1061",213500
"1062",81000
"1063",90000
"1064",110500
"1065",154000
"1066",328000
"1067",178000
"1068",167900
"1069",151400
"1070",135000
"1071",135000
"1072",154000
"1073",91500
"1074",159500
"1075",194000
"1076",219500
"1077",170000
"1078",138800
"1079",155900
"1080",126000
"1081",145000
"1082",133000
"1083",192000
"1084",160000
"1085",187500
"1086",147000
"1087",83500
"1088",252000
"1089",137500
"1090",197000
"1091",92900
"1092",160000
"1093",136500
"1094",146000
"1095",129000
"1096",176432
"1097",127000
"1098",170000
"1099",128000
"1100",157000
"1101",60000
"1102",119500
"1103",135000
"1104",159500
"1105",106000
"1106",325000
"1107",179900
"1108",274725
"1109",181000
"1110",280000
"1111",188000
"1112",205000
"1113",129900
"1114",134500
"1115",117000
"1116",318000
"1117",184100
"1118",130000
"1119",140000
"1120",133700
"1121",118400
"1122",212900
"1123",112000
"1124",118000
"1125",163900
"1126",115000
"1127",174000
"1128",259000
"1129",215000
"1130",140000
"1131",135000
"1132",93500
"1133",117500
"1134",239500
"1135",169000
"1136",102000
"1137",119000
"1138",94000
"1139",196000
"1140",144000
"1141",139000
"1142",197500
"1143",424870
"1144",80000
"1145",80000
"1146",149000
"1147",180000
"1148",174500
"1149",116900
"1150",143000
"1151",124000
"1152",149900
"1153",230000
"1154",120500
"1155",201800
"1156",218000
"1157",179900
"1158",230000
"1159",235128
"1160",185000
"1161",146000
"1162",224000
"1163",129000
"1164",108959
"1165",194000
"1166",233170
"1167",245350
"1168",173000
"1169",235000
"1170",625000
"1171",171000
"1172",163000
"1173",171900
"1174",200500
"1175",239000
"1176",285000
"1177",119500
"1178",115000
"1179",154900
"1180",93000
"1181",250000
"1182",392500
"1183",745000
"1184",120000
"1185",186700
"1186",104900
"1187",95000
"1188",262000
"1189",195000
"1190",189000
"1191",168000
"1192",174000
"1193",125000
"1194",165000
"1195",158000
"1196",176000
"1197",219210
"1198",144000
"1199",178000
"1200",148000
"1201",116050
"1202",197900
"1203",117000
"1204",213000
"1205",153500
"1206",271900
"1207",107000
"1208",200000
"1209",140000
"1210",290000
"1211",189000
"1212",164000
"1213",113000
"1214",145000
"1215",134500
"1216",125000
"1217",112000
"1218",229456
"1219",80500
"1220",91500
"1221",115000
"1222",134000
"1223",143000
"1224",137900
"1225",184000
"1226",145000
"1227",214000
"1228",147000
"1229",367294
"1230",127000
"1231",190000
"1232",132500
"1233",101800
"1234",142000
"1235",130000
"1236",138887
"1237",175500
"1238",195000
"1239",142500
"1240",265900
"1241",224900
"1242",248328
"1243",170000
"1244",465000
"1245",230000
"1246",178000
"1247",186500
"1248",169900
"1249",129500
"1250",119000
"1251",244000
"1252",171750
"1253",130000
"1254",294000
"1255",165400
"1256",127500
"1257",301500
"1258",99900
"1259",190000
"1260",151000
"1261",181000
"1262",128900
"1263",161500
"1264",180500
"1265",181000
"1266",183900
"1267",122000
"1268",378500
"1269",381000
"1270",144000
"1271",260000
"1272",185750
"1273",137000
"1274",177000
"1275",139000
"1276",137000
"1277",162000
"1278",197900
"1279",237000
"1280",68400
"1281",227000
"1282",180000
"1283",150500
"1284",139000
"1285",169000
"1286",132500
"1287",143000
"1288",190000
"1289",278000
"1290",281000
"1291",180500
"1292",119500
"1293",107500
"1294",162900
"1295",115000
"1296",138500
"1297",155000
"1298",140000
"1299",160000
"1300",154000
"1301",225000
"1302",177500
"1303",290000
"1304",232000
"1305",130000
"1306",325000
"1307",202500
"1308",138000
"1309",147000
"1310",179200
"1311",335000
"1312",203000
"1313",302000
"1314",333168
"1315",119000
"1316",206900
"1317",295493
"1318",208900
"1319",275000
"1320",111000
"1321",156500
"1322",72500
"1323",190000
"1324",82500
"1325",147000
"1326",55000
"1327",79000
"1328",130500
"1329",256000
"1330",176500
"1331",227000
"1332",132500
"1333",100000
"1334",125500
"1335",125000
"1336",167900
"1337",135000
"1338",52500
"1339",200000
"1340",128500
"1341",123000
"1342",155000
"1343",228500
"1344",177000
"1345",155835
"1346",108500
"1347",262500
"1348",283463
"1349",215000
"1350",122000
"1351",200000
"1352",171000
"1353",134900
"1354",410000
"1355",235000
"1356",170000
"1357",110000
"1358",149900
"1359",177500
"1360",315000
"1361",189000
"1362",260000
"1363",104900
"1364",156932
"1365",144152
"1366",216000
"1367",193000
"1368",127000
"1369",144000
"1370",232000
"1371",105000
"1372",165500
"1373",274300
"1374",466500
"1375",250000
"1376",239000
"1377",91000
"1378",117000
"1379",83000
"1380",167500
"1381",58500
"1382",237500
"1383",157000
"1384",112000
"1385",105000
"1386",125500
"1387",250000
"1388",136000
"1389",377500
"1390",131000
"1391",235000
"1392",124000
"1393",123000
"1394",163000
"1395",246578
"1396",281213
"1397",160000
"1398",137500
"1399",138000
"1400",137450
"1401",120000
"1402",193000
"1403",193879
"1404",282922
"1405",105000
"1406",275000
"1407",133000
"1408",112000
"1409",125500
"1410",215000
"1411",230000
"1412",140000
"1413",90000
"1414",257000
"1415",207000
"1416",175900
"1417",122500
"1418",340000
"1419",124000
"1420",223000
"1421",179900
"1422",127500
"1423",136500
"1424",274970
"1425",144000
"1426",142000
"1427",271000
"1428",140000
"1429",119000
"1430",182900
"1431",192140
"1432",143750
"1433",64500
"1434",186500
"1435",160000
"1436",174000
"1437",120500
"1438",394617
"1439",149700
"1440",197000
"1441",191000
"1442",149300
"1443",310000
"1444",121000
"1445",179600
"1446",129000
"1447",157900
"1448",240000
"1449",112000
"1450",92000
"1451",136000
"1452",287090
"1453",145000
"1454",84500
"1455",185000
"1456",175000
"1457",210000
"1458",266500
"1459",142125
"1460",147500
